rut,programa,hito1,hito2,hito3,hito4,exitosos,fallidos,ejercicios_hito1,ejercicios_hito2,ejercicios_hito3,ejercicios_hito4,sol1,sol2,sol3,sol4
3,INGENIERIA CIVIL INDUSTRIAL,1,0,0,0,7,17,:25,,,,3.9,4.7,3.7,4.1
5,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,1.0,1.0,1.0
7,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,1.0,1.0,1.0
12,INGENIERIA CIVIL INDUSTRIAL,9,0,0,0,12,12,:25:17:4:26:29:22,,,,5.2,1.0,1.0,1.0
16,INGENIERIA INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,1.0,1.0,1.0
34,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,31,,,,,6.2,5.5,5.6,5.8
42,INGENIERIA EN COMPUTACION E INFORMATICA,13,0,0,0,9,15,:25:17:4:26:29:0:22:10:3,,,,2.0,6.2,5.8,4.7
44,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,1.0,1.0,1.0
50,INGENIERIA INDUSTRIAL,0,0,0,0,0,0,,,,,6.6,6.9,6.0,6.5
51,INGENIERIA INDUSTRIAL,1,0,0,0,1,23,:25,,,,4.6,2.1,1.0,2.6
54,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,6.0,5.5,5.7,5.7
57,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,6.2,7.0,6.2,6.2
65,INGENIERIA EN COMPUTACION E INFORMATICA,12,6,0,0,12,19,:25:17:4:29:22:3:42:35,:1:44:37:28,,,6.8,3.8,5.8,5.5
69,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,5.2,6.0,5.8,5.7
81,INGENIERIA INDUSTRIAL,0,0,0,0,0,24,,,,,5.0,5.3,1.0,3.8
100,INGENIERIA CIVIL INDUSTRIAL,25,5,0,0,19,12,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18,:6:1:44:28,,,3.8,5.5,6.2,5.2
103,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,1.0,1.0,1.0
104,INGENIERIA EN COMPUTACION E INFORMATICA,9,0,0,0,6,10,:25:17:4:26:29:0,,,,6.5,1.0,3.7,3.7
122,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,15,,,,,1.0,1.0,1.0,1.0
125,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,5.2,4.0,3.4,4.2
131,INGENIERIA EN COMPUTACION E INFORMATICA,3,0,0,0,3,36,:25:17:4,,,,4.4,1.0,1.0,4.4
134,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,4.6,1.0,3.8,3.1
148,INGENIERIA INDUSTRIAL,0,0,0,0,0,16,,,,,4.6,1.0,1.0,2.2
151,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,6.6,4.6,3.2,4.8
155,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,7,17,:25:17:4:26:29:22:10,,,,3.8,4.1,2.4,3.4
165,INGENIERIA CIVIL INDUSTRIAL,19,1,0,0,13,18,:25:17:4:26:23:0:22:10:42:32:18:35,:44,,,3.8,5.8,6.4,5.3
166,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,4.3,1.0,1.0,2.1
170,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,6.1,6.4,6.2,6.1
173,INGENIERIA INDUSTRIAL,0,0,0,0,0,31,,,,,3.6,4.0,4.6,4.6
176,INGENIERIA EN COMPUTACION E INFORMATICA,6,3,0,0,7,24,:25:17:4:26:3,:1:28,,,3.8,6.5,6.0,5.4
198,INGENIERIA CIVIL INDUSTRIAL,22,4,0,0,15,16,:25:17:4:26:29:0:22:10:3:7:32:13:35,:44:11,,,6.4,3.8,4.7,5.0
200,INGENIERIA CIVIL INDUSTRIAL,19,2,0,0,14,17,:25:17:4:26:29:23:0:22:10:42:32:18,:1:44,,,3.0,6.2,5.9,5.0
206,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,6.4,5.9,6.7,6.3
212,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,0,,,,,1.0,1.0,1.0,1.0
218,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,5.0,6.0,5.9,5.6
225,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,16,,,,,4.4,2.5,1.0,2.6
227,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,31,,,,,4.8,5.8,4.2,4.9
231,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,4.8,5.6,3.5,4.6
235,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,6.3,5.4,4.7,5.5
236,INGENIERIA CIVIL INFORMATICA,11,4,0,0,11,20,:4:29:23:22:3:42:32,:6:1:44:38,,,5.0,3.9,4.3,4.4
239,INGENIERIA EN COMPUTACION E INFORMATICA,20,11,0,0,21,10,:25:17:4:26:29:23:0:22:10:3:32:18:35,:6:1:44:37:28:12:21:38,,,7.0,1.0,6.8,6.3
260,INGENIERIA CIVIL INFORMATICA,1,0,0,0,1,15,:25,,,,3.6,1.9,1.0,1.9
266,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,2.8,1.0,1.0,1.6
274,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,3.6,2.2,1.0,2.3
275,INGENIERIA EN COMPUTACION E INFORMATICA,13,2,0,0,10,21,:23:0:3:42:7:32:18:35,:1:44,,,5.6,3.0,4.2,4.3
278,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,16,,,,,1.0,6.1,1.0,2.7
280,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,31,,,,,4.2,4.0,2.5,3.6
287,INGENIERIA INDUSTRIAL,0,0,0,0,0,31,,,,,4.8,6.5,5.7,5.7
297,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,6.0,6.0,6.1,6.0
300,INGENIERIA CIVIL INFORMATICA,0,0,0,0,7,32,,,,,5.6,4.5,4.7,4.6
321,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,5.7,5.4,3.7,4.9
322,INGENIERIA INDUSTRIAL,0,0,0,0,0,16,,,,,6.2,6.4,5.8,6.1
323,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,4.2,1.0,2.9,2.7
327,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,31,,,,,5.9,4.2,6.2,5.9
328,INGENIERIA INDUSTRIAL,6,1,0,0,5,34,:17:26:0:3,:44,,,6.4,3.4,4.1,4.6
344,INGENIERIA CIVIL INDUSTRIAL,16,5,0,0,15,16,:25:17:4:26:29:23:0:22:10:3:42,:6:1:28:12,,,3.8,5.4,6.8,5.3
356,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,4.0,2.0,2.5,2.8
380,INGENIERIA EN COMPUTACION E INFORMATICA,22,1,0,0,15,16,:25:17:4:26:29:23:0:22:10:3:42:32:18:35,:6,,,3.7,6.6,5.5,3.7
381,INGENIERIA EN COMPUTACION E INFORMATICA,20,4,0,0,14,17,:25:17:4:26:29:0:3:42:32:13:35,:6:44:37,,,2.0,2.4,2.1,2.1
386,INGENIERIA CIVIL INDUSTRIAL,11,0,0,0,7,17,:25:17:4:26:29:0:22,,,,1.0,2.4,1.0,1.5
403,INGENIERIA CIVIL INFORMATICA,22,6,0,0,19,12,:25:17:4:26:29:23:0:22:10:3:42:32:18:35,:6:1:44:28:38,,,2.2,5.4,6.5,6.0
414,INGENIERIA CIVIL INDUSTRIAL,12,7,0,0,13,18,:25:4:26:29:0:22:10:3,:6:1:44:37:28,,,6.0,2.1,5.7,4.6
423,INGENIERIA CIVIL INFORMATICA,14,1,0,0,9,22,:17:4:26:29:23:3:32:13,:44,,,4.0,3.8,3.2,3.7
439,INGENIERIA INDUSTRIAL,0,0,0,0,0,0,,,,,5.0,1.0,1.0,1.0
446,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,7,32,,,,,4.2,1.0,1.0,4.2
452,INGENIERIA INDUSTRIAL,14,3,0,0,12,19,:25:17:4:26:29:0:22:10:35,:6:1:44,,,3.2,5.0,5.5,4.6
459,INGENIERIA EN COMPUTACION E INFORMATICA,0,5,0,0,4,27,,:6:1:44:28,,,3.6,2.4,5.0,3.7
467,INGENIERIA CIVIL INDUSTRIAL,17,0,0,0,10,21,:25:17:4:26:29:23:0:22:10:3,,,,1.0,,,
468,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:25:17:4:26:29:23:0,,,,1.0,,,
469,INGENIERIA CIVIL INDUSTRIAL,11,0,0,0,6,10,:25:17:26:29:23:0,,,,1.0,,,
470,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
471,INGENIERIA INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
472,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
473,INGENIERIA INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
474,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,1.0,,,
475,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
476,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
477,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
478,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
479,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
480,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:25:17:4:26:29:23:0,,,,1.0,,,
481,INGENIERIA INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
482,INGENIERIA CIVIL INDUSTRIAL,22,0,0,0,12,19,:25:17:4:26:29:23:0:22:10:3:42:18,,,,1.0,,,
483,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,31,,,,,1.0,,,
484,INGENIERIA CIVIL INDUSTRIAL,27,0,0,0,14,2,:25:17:4:26:29:23:0:22:10:7:32:13:18:35,,,,1.0,,,
485,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
486,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
487,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:25:17:4:26:29:23:0,,,,1.0,,,
488,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
489,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
490,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
491,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
492,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
493,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:25:17:4:26:29:23:0,,,,1.0,,,
494,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
495,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
496,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
497,INGENIERIA CIVIL INDUSTRIAL,2,0,0,0,2,29,:25:17,,,,1.0,,,
498,INGENIERIA CIVIL INDUSTRIAL,20,0,0,0,10,6,:25:17:4:26:0:3:32:13:18:35,,,,1.0,,,
499,INGENIERIA CIVIL INFORMATICA,21,0,0,0,11,5,:25:17:4:26:29:23:0:22:10:32:13,,,,1.0,,,
500,INGENIERIA INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
501,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
502,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
503,INGENIERIA INDUSTRIAL,22,0,0,0,12,19,:25:17:4:29:23:0:22:10:7:32:13:18,,,,1.0,,,
504,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
505,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
506,INGENIERIA INDUSTRIAL,30,0,0,0,17,30,:25:25:17:17:4:4:26:26:29:29:23:0:22:10:32:13:18,,,,1.0,,,
507,INGENIERIA CIVIL INFORMATICA,8,0,0,0,6,10,:25:17:4:26:22:10,,,,1.0,,,
508,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
509,INGENIERIA EN COMPUTACION E INFORMATICA,2,0,0,0,2,14,:25:17,,,,1.0,,,
510,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
511,INGENIERIA EN COMPUTACION E INFORMATICA,19,0,0,0,10,6,:25:17:4:26:29:23:0:7:32:13,,,,1.0,,,
512,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,1.0,,,
513,INGENIERIA EN COMPUTACION E INFORMATICA,19,0,0,0,10,6,:25:17:4:23:0:22:10:32:13:18,,,,1.0,,,
514,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
515,INGENIERIA CIVIL INDUSTRIAL,2,0,0,0,2,14,:25:17,,,,1.0,,,
516,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,1.0,,,
517,INGENIERIA CIVIL INDUSTRIAL,11,0,0,0,7,9,:25:17:4:26:0:22:32,,,,1.0,,,
518,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,1.0,,,
519,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
520,INGENIERIA CIVIL INDUSTRIAL,15,0,0,0,8,8,:25:17:26:23:0:22:3:32,,,,1.0,,,
521,INGENIERIA EN COMPUTACION E INFORMATICA,17,0,0,0,10,6,:25:17:4:26:29:23:0:22:10:3,,,,1.0,,,
522,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,8,8,:25:17:4:26:29:0:22:10,,,,1.0,,,
523,INGENIERIA CIVIL INDUSTRIAL,13,0,0,0,7,24,:17:4:29:23:0:22:32,,,,1.0,,,
524,INGENIERIA CIVIL INFORMATICA,1,0,0,0,1,31,:25,,,,1.0,,,
525,INGENIERIA CIVIL INDUSTRIAL,13,0,0,0,8,8,:25:17:4:26:29:0:10:42,,,,1.0,,,
526,INGENIERIA CIVIL INFORMATICA,9,0,0,0,7,9,:25:17:4:26:22:10:7,,,,1.0,,,
527,INGENIERIA EN COMPUTACION E INFORMATICA,21,6,0,0,17,14,:25:4:26:29:23:0:22:10:3:42:32:18:35,:6:44:37:28,,,1.0,,,
528,INGENIERIA EN COMPUTACION E INFORMATICA,22,0,0,0,12,19,:25:17:4:26:22:10:3:7:32:13:18:35,,,,1.0,,,
529,INGENIERIA EN COMPUTACION E INFORMATICA,13,0,0,0,9,7,:25:17:4:26:29:0:3:42:7,,,,1.0,,,
530,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:25:17:4:26:29:23:22,,,,1.0,,,
531,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
532,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,1.0,,,
533,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,6,10,:25:17:4:26:23:0,,,,1.0,,,
534,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,1.0,,,
535,INGENIERIA CIVIL INFORMATICA,2,2,0,0,4,27,:25:17,:6:44,,,1.0,,,
536,INGENIERIA CIVIL INDUSTRIAL,13,0,0,0,7,9,:25:17:4:26:23:22:42,,,,1.0,,,
537,INGENIERIA CIVIL INDUSTRIAL,16,0,0,0,9,7,:25:17:4:26:29:23:0:22:3,,,,1.0,,,
538,INGENIERIA CIVIL INDUSTRIAL,14,0,0,0,9,7,:25:17:4:26:29:0:22:10:3,,,,1.0,,,
539,INGENIERIA EN COMPUTACION E INFORMATICA,19,0,0,0,10,6,:25:17:4:26:29:23:22:10:32:13,,,,1.0,,,
540,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
541,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
542,INGENIERIA CIVIL INDUSTRIAL,26,0,0,0,13,3,:25:17:4:26:29:23:0:22:10:3:32:13:35,,,,1.0,,,
543,INGENIERIA CIVIL INDUSTRIAL,24,0,0,0,13,3,:25:17:4:26:29:22:10:3:42:7:32:13:18,,,,1.0,,,
544,INGENIERIA CIVIL INDUSTRIAL,15,0,0,0,8,23,:17:4:26:23:0:22:3:32,,,,1.0,,,
545,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:25:17:4:26:29:23:22,,,,1.0,,,
546,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,6,10,:25:17:4:23:0:22,,,,1.0,,,
547,INGENIERIA INDUSTRIAL,20,0,0,0,11,20,:25:17:4:26:29:23:0:22:10:3:42,,,,1.0,,,
548,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
549,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
550,INGENIERIA CIVIL INFORMATICA,5,0,0,0,4,12,:25:17:4:22,,,,1.0,,,
551,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:25:17:4:26:29:23:22,,,,1.0,,,
552,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,8,8,:25:17:4:26:29:22:10:3,,,,1.0,,,
553,INGENIERIA EN COMPUTACION E INFORMATICA,5,0,0,0,2,14,:23:32,,,,1.0,,,
554,INGENIERIA CIVIL INDUSTRIAL,14,0,0,0,8,8,:25:17:4:26:29:23:0:22,,,,1.0,,,
555,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:25:17:4:26:29:23:0,,,,1.0,,,
556,INGENIERIA CIVIL INDUSTRIAL,15,0,0,0,8,8,:17:4:29:23:0:22:32:18,,,,1.0,,,
557,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:25:17:4:26:29:23:22,,,,1.0,,,
558,INGENIERIA EN COMPUTACION E INFORMATICA,4,0,0,0,3,13,:25:17:22,,,,1.0,,,
559,INGENIERIA CIVIL INDUSTRIAL,3,0,0,0,3,13,:25:17:4,,,,1.0,,,
560,INGENIERIA EN COMPUTACION E INFORMATICA,27,0,0,0,14,2,:25:17:4:26:29:23:0:22:10:7:32:13:18:35,,,,1.0,,,
561,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,5,11,:17:4:23:3:35,,,,1.0,,,
562,INGENIERIA CIVIL INDUSTRIAL,18,0,0,0,10,6,:25:17:4:26:29:23:0:10:3:35,,,,1.0,,,
563,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
564,INGENIERIA CIVIL INDUSTRIAL,19,0,0,0,10,6,:25:17:4:26:23:22:10:32:13:18,,,,1.0,,,
565,INGENIERIA EN COMPUTACION E INFORMATICA,15,0,0,0,9,22,:25:17:4:26:29:23:0:22:10,,,,1.0,,,
566,INGENIERIA CIVIL INFORMATICA,32,0,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,,,,1.0,,,
567,INGENIERIA EN COMPUTACION E INFORMATICA,7,0,0,0,5,11,:25:17:4:26:29,,,,1.0,,,
568,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,24,:25:17:26:23:0:10:3,,,,1.0,,,
569,INGENIERIA EN COMPUTACION E INFORMATICA,25,0,0,0,13,3,:25:17:4:26:23:0:22:10:7:32:13:18:35,,,,1.0,,,
570,INGENIERIA CIVIL INDUSTRIAL,13,0,0,0,7,9,:25:17:4:26:23:22:42,,,,1.0,,,
571,INGENIERIA CIVIL INDUSTRIAL,2,0,0,0,2,14,:17:4,,,,1.0,,,
572,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:17:26:29:22:10:7:35,,,,1.0,,,
573,INGENIERIA EN COMPUTACION E INFORMATICA,13,0,0,0,8,23,:25:17:4:26:29:23:0:10,,,,1.0,,,
574,INGENIERIA CIVIL INDUSTRIAL,15,0,0,0,8,23,:17:4:29:23:0:22:32:18,,,,1.0,,,
575,INGENIERIA CIVIL INDUSTRIAL,15,0,0,0,9,7,:25:17:4:26:29:23:0:22:10,,,,1.0,,,
576,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
577,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
578,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:25:17:4:26:29:23:22,,,,1.0,,,
579,INGENIERIA CIVIL INDUSTRIAL,15,0,0,0,8,23,:17:4:29:23:0:22:32:18,,,,1.0,,,
580,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
581,INGENIERIA CIVIL INDUSTRIAL,7,0,0,0,5,11,:25:17:4:26:29,,,,1.0,,,
582,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
583,INGENIERIA CIVIL INDUSTRIAL,13,0,0,0,7,9,:17:4:29:23:0:22:18,,,,1.0,,,
